f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              f              0              0              1875873731     0              0              
f              f              f              k              5              5              5              5              1              
f              f              f              uy             5              5              5              2              1              
